Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-03-31 01:00:00+00:00,13.999999999999996,13.035028,13.999999999999996,16.154528
2024-03-31 02:00:00+00:00,7.0,15.975744,7.0,17.618643
2024-03-31 03:00:00+00:00,3.0,10.335791,3.0,10.156944
2024-03-31 04:00:00+00:00,3.0,8.217417,3.0,8.790216
2024-03-31 05:00:00+00:00,1.000000000000007,8.644247,1.000000000000007,8.754988
2024-03-31 06:00:00+00:00,31.6,7.1021633,31.6,6.732992
2024-03-31 07:00:00+00:00,28.8,26.071156,28.8,26.4379
2024-03-31 08:00:00+00:00,10.0,26.20808,10.0,27.05734
2024-03-31 09:00:00+00:00,8.0,15.256601,8.0,11.972706
2024-03-31 10:00:00+00:00,9.0,14.515512,9.0,12.019936
2024-03-31 11:00:00+00:00,7.0,14.561874,7.0,13.4773655
2024-03-31 12:00:00+00:00,6.0,13.594259,6.0,13.423264
2024-03-31 13:00:00+00:00,27.199999999999996,14.788191,27.199999999999996,14.608259
2024-03-31 14:00:00+00:00,15.0,32.568542,15.0,32.585945
2024-03-31 15:00:00+00:00,32.0,24.111193,32.0,23.994366
2024-03-31 16:00:00+00:00,60.0,36.13569,60.0,35.87523
2024-03-31 17:00:00+00:00,60.0,61.59066,60.0,61.492767
2024-03-31 18:00:00+00:00,68.0,59.537006,68.0,61.403694
2024-03-31 19:00:00+00:00,61.0,64.67359,61.0,66.80765
2024-03-31 20:00:00+00:00,57.0,57.602077,57.0,61.062252
2024-03-31 21:00:00+00:00,32.0,53.936462,32.0,56.66884
2024-03-31 22:00:00+00:00,26.0,34.713356,26.0,36.00186
2024-03-31 23:00:00+00:00,66.0,29.888329,66.0,31.960478
2024-04-01 00:00:00+00:00,48.0,60.237404,48.0,61.94234
2024-04-01 01:00:00+00:00,44.0,47.62872,44.0,48.256397
2024-04-01 02:00:00+00:00,40.0,44.04723,40.0,45.259525
2024-04-01 03:00:00+00:00,40.0,40.27734,40.0,39.87197
2024-04-01 04:00:00+00:00,16.999999999999996,38.69511,16.999999999999996,39.240917
2024-04-01 05:00:00+00:00,29.0,21.560863,29.0,20.722256
2024-04-01 06:00:00+00:00,29.0,28.54348,29.0,26.18155
2024-04-01 07:00:00+00:00,35.0,28.063663,35.0,26.257835
2024-04-01 08:00:00+00:00,48.0,31.358791,48.0,30.332893
2024-04-01 09:00:00+00:00,24.0,40.475952,24.0,40.92937
2024-04-01 10:00:00+00:00,24.0,23.728638,24.0,20.83165
2024-04-01 11:00:00+00:00,21.0,24.184181,21.0,21.21303
2024-04-01 12:00:00+00:00,12.0,21.517738,12.0,18.995203
2024-04-01 13:00:00+00:00,38.0,17.785255,38.0,13.568764
2024-04-01 14:00:00+00:00,16.0,40.481358,16.0,36.22551
2024-04-01 15:00:00+00:00,16.0,26.274849,16.0,20.56219
2024-04-01 16:00:00+00:00,29.0,23.552427,29.0,22.848576
2024-04-01 17:00:00+00:00,34.0,32.564182,34.0,29.941648
2024-04-01 18:00:00+00:00,48.0,35.903557,48.0,33.351917
2024-04-01 19:00:00+00:00,43.0,46.21339,43.0,42.987553
