Datetime,Actual Linear Regression,Predicted Linear Regression,Actual Random Forest,Predicted Random Forest,Actual XGBoost,Predicted XGBoost
2024-04-01 03:00:00+00:00,3.0,32.98645327529164,3.0,15.425125806438661,3.0,18.469667
2024-04-01 04:00:00+00:00,3.0,34.89143891499907,3.0,16.75827915616231,3.0,19.77454
2024-04-01 05:00:00+00:00,1.000000000000007,23.27291152256305,1.000000000000007,18.59546662324164,1.000000000000007,27.306376
2024-04-01 06:00:00+00:00,31.6,31.284365747419656,31.6,36.84802359736412,31.6,31.862068
2024-04-01 07:00:00+00:00,28.8,28.805568020107785,28.8,36.36168546838752,28.8,27.817705
2024-04-01 08:00:00+00:00,10.0,15.765698871695236,10.0,20.554270282934944,10.0,17.858995
2024-04-01 09:00:00+00:00,8.0,17.417114846331742,8.0,18.606339740837385,8.0,16.516825
2024-04-01 10:00:00+00:00,9.0,20.55679180838399,9.0,19.785083704753262,9.0,17.20406
2024-04-01 11:00:00+00:00,7.0,21.768806353068044,7.0,20.15066343761221,7.0,17.331226
2024-04-01 12:00:00+00:00,6.0,25.30576622365072,6.0,21.976017039217446,6.0,22.546835
2024-04-01 13:00:00+00:00,27.2,31.095310937063232,27.2,50.40466776551284,27.2,42.54182
2024-04-01 14:00:00+00:00,15.0,30.162301284909404,15.0,29.743916658068446,15.0,24.847094
2024-04-01 15:00:00+00:00,32.0,37.26265590592652,32.0,36.56808620480933,32.0,37.34439
2024-04-01 16:00:00+00:00,60.0,41.26282761777691,60.0,47.14654239404558,60.0,46.26756
2024-04-01 17:00:00+00:00,60.0,39.560558724180055,60.0,54.84296122683295,60.0,51.25797
2024-04-01 18:00:00+00:00,68.0,37.87224055672391,68.0,52.37077005700529,68.0,54.677963
2024-04-01 19:00:00+00:00,61.0,36.84017385234915,61.0,50.85663576968756,61.0,53.754025
2024-04-01 20:00:00+00:00,57.0,36.07971804199724,57.0,56.98465694944237,57.0,56.313427
2024-04-01 21:00:00+00:00,32.0,36.72951852457504,32.0,59.356370571086224,32.0,59.193066
2024-04-01 22:00:00+00:00,26.0,39.94692518937575,26.0,65.21139500702658,26.0,60.65912
2024-04-01 23:00:00+00:00,66.0,39.479899948146,66.0,52.70321945955084,66.0,55.12088
2024-04-02 00:00:00+00:00,48.0,33.60674459542781,48.0,37.3016483655199,48.0,41.111088
2024-04-02 01:00:00+00:00,44.0,37.53384773966991,44.0,37.5656135445473,44.0,39.623856
2024-04-02 02:00:00+00:00,40.0,39.12688597204885,40.0,36.112870583782595,40.0,33.967365
2024-04-02 03:00:00+00:00,40.0,37.38206883674354,40.0,37.86625681694285,40.0,35.18229
2024-04-02 04:00:00+00:00,16.999999999999996,34.34482782015459,16.999999999999996,38.18623852577331,16.999999999999996,41.75113
2024-04-02 05:00:00+00:00,29.0,27.68704213916726,29.0,38.93013649722605,29.0,44.87221
